date	season	obs	yest.obs	two.yest.obs	three.yest.obs
1915-11-27	1	-0.352393619	-0.310690955	-0.28978427	-0.316340687
1915-11-28	1	-0.380690369	-0.352393619	-0.310690955	-0.28978427
1915-11-29	1	-0.464137657	-0.380690369	-0.352393619	-0.310690955
1915-11-30	1	-0.520716697	-0.464137657	-0.380690369	-0.352393619
1915-12-01	1	-0.439004595	-0.520716697	-0.464137657	-0.380690369
1915-12-02	1	0.887277947	-0.439004595	-0.520716697	-0.464137657
1915-12-03	1	1.110208935	0.887277947	-0.439004595	-0.520716697
1915-12-04	1	1.190094645	1.110208935	0.887277947	-0.439004595
1915-12-05	1	0.544023999	1.190094645	1.110208935	0.887277947
1915-12-06	1	0.288377681	0.544023999	1.190094645	1.110208935
1915-12-07	1	0.202807151	0.288377681	0.544023999	1.190094645
1915-12-08	1	0.232697296	0.202807151	0.288377681	0.544023999
1915-12-09	1	0.26171989	0.232697296	0.202807151	0.288377681
1915-12-10	1	0.252540021	0.26171989	0.232697296	0.202807151
1915-12-11	1	1.1523362	0.252540021	0.26171989	0.232697296
1915-12-12	1	1.934951111	1.1523362	0.252540021	0.26171989
1915-12-13	1	2.063887199	1.934951111	1.1523362	0.252540021
1915-12-14	1	1.845809432	2.063887199	1.934951111	1.1523362
1915-12-15	1	1.004470419	1.845809432	2.063887199	1.934951111
1915-12-16	1	0.652375842	1.004470419	1.845809432	2.063887199
1915-12-17	1	0.480962317	0.652375842	1.004470419	1.845809432
1915-12-18	1	0.35858194	0.480962317	0.652375842	1.004470419
1915-12-19	1	0.240438219	0.35858194	0.480962317	0.652375842
1915-12-20	1	0.134807104	0.240438219	0.35858194	0.480962317
1915-12-21	1	0.09336471	0.134807104	0.240438219	0.35858194
1915-12-22	1	0.098522986	0.09336471	0.134807104	0.240438219
1915-12-23	1	0.138858426	0.098522986	0.09336471	0.134807104
1915-12-24	1	0.153574411	0.138858426	0.098522986	0.09336471
1915-12-25	1	0.133904577	0.153574411	0.138858426	0.098522986
1915-12-26	1	0.072941297	0.133904577	0.153574411	0.138858426
1915-12-27	1	0.019726773	0.072941297	0.133904577	0.153574411
1915-12-28	1	-0.024770997	0.019726773	0.072941297	0.133904577
1915-12-29	1	-0.104020369	-0.024770997	0.019726773	0.072941297
1915-12-30	1	-0.208999132	-0.104020369	-0.024770997	0.019726773
1915-12-31	1	-0.242637492	-0.208999132	-0.104020369	-0.024770997
1916-01-01	1	2.041354768	-0.242637492	-0.208999132	-0.104020369
1916-01-02	1	2.800003478	2.041354768	-0.242637492	-0.208999132
1916-01-03	1	2.937880406	2.800003478	2.041354768	-0.242637492
1916-01-04	1	2.596364022	2.937880406	2.800003478	2.041354768
1916-01-05	1	1.746497777	2.596364022	2.937880406	2.800003478
1916-01-06	1	1.484583456	1.746497777	2.596364022	2.937880406
1916-01-07	1	1.953124028	1.484583456	1.746497777	2.596364022
1916-01-08	1	2.654291667	1.953124028	1.484583456	1.746497777
1916-01-09	1	2.745168717	2.654291667	1.953124028	1.484583456
1916-01-10	1	2.560722889	2.745168717	2.654291667	1.953124028
1916-01-11	1	1.81770841	2.560722889	2.745168717	2.654291667
1916-01-12	1	2.025138197	1.81770841	2.560722889	2.745168717
1916-01-13	1	2.25534124	2.025138197	1.81770841	2.560722889
1916-01-14	1	2.369268849	2.25534124	2.025138197	1.81770841
1916-01-15	1	2.138977651	2.369268849	2.25534124	2.025138197
1916-01-16	1	2.383174611	2.138977651	2.369268849	2.25534124
1916-01-17	1	2.499898886	2.383174611	2.138977651	2.369268849
1916-01-18	1	2.562714525	2.499898886	2.383174611	2.138977651
1916-01-19	1	2.229579333	2.562714525	2.499898886	2.383174611
1916-01-20	1	1.959690998	2.229579333	2.562714525	2.499898886
1916-01-21	1	1.915073932	1.959690998	2.229579333	2.562714525
1916-01-22	1	2.423768008	1.915073932	1.959690998	2.229579333
1916-01-23	1	3.011148148	2.423768008	1.915073932	1.959690998
1916-01-24	1	3.293734668	3.011148148	2.423768008	1.915073932
1916-01-25	1	3.238602598	3.293734668	3.011148148	2.423768008
1916-01-26	1	2.978866456	3.238602598	3.293734668	3.011148148
1916-01-27	1	2.720326889	2.978866456	3.238602598	3.293734668
1916-01-28	1	2.590962774	2.720326889	2.978866456	3.238602598
1916-01-29	1	2.412733413	2.590962774	2.720326889	2.978866456
1916-01-30	1	2.215600911	2.412733413	2.590962774	2.720326889
1916-01-31	1	2.080781688	2.215600911	2.412733413	2.590962774
1916-02-01	1	2.080781688	2.080781688	2.215600911	2.412733413
1916-02-02	1	2.511274614	2.080781688	2.080781688	2.215600911
1916-02-03	1	2.896283341	2.511274614	2.080781688	2.080781688
1916-02-04	1	3.037481958	2.896283341	2.511274614	2.080781688
1916-02-05	1	2.978866456	3.037481958	2.896283341	2.511274614
1916-02-06	1	2.85317824	2.978866456	3.037481958	2.896283341
1916-02-07	1	2.822964462	2.85317824	2.978866456	3.037481958
1916-02-08	1	2.832124831	2.822964462	2.85317824	2.978866456
